20MICRONS,20200929,29.1,29.7,28.35,28.6,17085
21STCENMGM,20200929,10.25,10.35,10.05,10.05,1050
3IINFOTECH,20200929,3.1,3.15,3.05,3.15,2098201
3MINDIA,20200929,18499.95,18550,18100,18399.7,3576
5PAISA,20200929,338.05,356.85,338.05,347.75,2387
63MOONS,20200929,68.5,69.5,67,68.65,28151
8KMILES,20200929,54.5,54.5,54.5,54.5,3768
A2ZINFRA,20200929,4.2,4.2,4.05,4.1,203518
AAKASH,20200929,54,55.8,50.55,50.55,978
AARTIDRUGS,20200929,3089,3089,2911.35,2938.4,280901
AARTIIND,20200929,1025,1036.7,1005,1014.4,239039
AARTISURF,20200929,479,485,471,475.95,7725
AARVEEDEN,20200929,10.6,11.2,10.55,10.95,4814
AARVI,20200929,39.3,39.3,38.5,38.5,196
AAVAS,20200929,1370.15,1414.4,1352.95,1402.15,43827
ABAN,20200929,24.05,25.25,23.9,24,37331
ABB,20200929,867.9,874.85,853,854.95,532383
ABBOTINDIA,20200929,16443.65,16510.1,16111.6,16402,7072
ABCAPITAL,20200929,65,65,62.7,63.15,1465646
ABFRL,20200929,132,133.65,129.15,132.55,1245647
ABMINTLTD,20200929,17.85,17.85,17.85,17.85,444
ABSLBANETF,20200929,215,216,210,210.17,201
ABSLNN50ET,20200929,294.69,294.69,285,287.49,53
ACC,20200929,1380.4,1398.6,1358.3,1379.15,1172447
ACCELYA,20200929,1034.8,1034.8,1031.1,1032.65,23227
ACE,20200929,68.9,68.9,67.5,68.05,115521
ADANIENT,20200929,299.9,307,292.15,297.9,10246726
ADANIGAS,20200929,192.35,194.65,189.6,191.35,1390359
ADANIGREEN,20200929,714.1,714.1,714.1,714.1,204483
ADANIPORTS,20200929,343.4,346.4,336.9,341,3490719
ADANIPOWER,20200929,37.3,37.55,37.1,37.25,2207509
ADANITRANS,20200929,254.4,257,246.5,249.15,215649
ADFFOODS,20200929,431,438.2,415.3,420.9,59682
ADHUNIKIND,20200929,19.7,19.7,18.7,19.25,8006
ADORWELD,20200929,246.9,249.2,245.45,247.15,12749
ADROITINFO,20200929,4.7,4.95,4.7,4.9,3312
ADSL,20200929,23.5,23.8,22.1,22.25,211824
ADVANIHOTR,20200929,43.45,43.45,41.2,42.75,5758
ADVENZYMES,20200929,299,303.7,291.5,293.95,593699
AEGISCHEM,20200929,240,244.75,232.7,237.2,235874
AFFLE,20200929,2990,3028.95,2935,2954.9,29154
AGARIND,20200929,94.2,97.9,92.5,93.05,8944
AGCNET,20200929,357.45,357.6,345.05,347.45,33756
AGRITECH,20200929,29.2,30.5,29.15,29.45,4178
AGROPHOS,20200929,9.6,9.9,9.35,9.45,5701
AHLEAST,20200929,142.3,145.6,142.3,144.6,324
AHLUCONT,20200929,240.9,244.75,239,240.25,7939
AHLWEST,20200929,264.05,291.95,260.1,262.65,403
AIAENG,20200929,1729,1784.45,1725,1762.7,82547
AIONJSW,20200929,18.5,18.75,17.35,17.5,164118
AIRAN,20200929,12.1,12.15,11.5,12,50204
AJANTPHARM,20200929,1604.6,1621.9,1581,1592.25,129351
AJMERA,20200929,82.25,82.25,79.3,80.4,39681
AKASH,20200929,238,243,236,242.5,3651
AKSHARCHEM,20200929,224.5,226.75,220.5,222.05,14777
AKSHOPTFBR,20200929,5.95,6.05,5.8,5.85,75814
AKZOINDIA,20200929,2065.5,2099,2035.05,2082.3,5190
ALANKIT,20200929,16.85,17.8,16.2,17.45,416181
ALBERTDAVD,20200929,447,468.8,431,454.1,133896
ALCHEM,20200929,5.45,5.45,5,5.05,37561
ALEMBICLTD,20200929,106.8,107.5,104,104.75,389862
ALICON,20200929,335.55,345,330.85,333.5,1568
ALKALI,20200929,47.25,47.4,46,46.25,9602
ALKEM,20200929,2806.95,2830,2765,2775.45,172734
ALKYLAMINE,20200929,3292.8,3320,3202,3218.9,30314
ALLCARGO,20200929,128.1,129.8,124.4,125.15,595201
ALLSEC,20200929,260,260,246.35,250,892
ALMONDZ,20200929,11.65,11.7,11.35,11.55,4897
ALOKINDS,20200929,21.85,21.95,20.55,20.55,14277876
ALPA,20200929,28.55,29.3,27.7,29.2,53304
ALPHAGEO,20200929,157.1,158.7,155.75,156.55,5528
ALPSINDUS,20200929,1.3,1.3,1.3,1.3,11583
AMARAJABAT,20200929,748,762,744.35,755.7,773098
AMBER,20200929,2042.25,2112,2042.25,2072.5,166819
AMBIKCO,20200929,668.95,668.95,642.05,658.55,2515
AMBUJACEM,20200929,214.05,218.5,210.8,216.65,4723206
AMDIND,20200929,16.5,16.95,15.8,16.1,11274
AMJLAND,20200929,18.25,18.55,18,18.5,6534
AMRUTANJAN,20200929,436,439.2,431.25,432.1,42016
ANANTRAJ,20200929,31.8,32.45,30.6,31,300647
ANDHRACEMT,20200929,5.05,5.15,4.85,5.05,151895
ANDHRAPAP,20200929,193.9,194.7,188.9,189.6,57922
ANDHRSUGAR,20200929,313,313,301.1,304.05,20111
ANIKINDS,20200929,12.8,13,12.8,12.95,1825
ANKITMETAL,20200929,0.75,0.85,0.75,0.8,46738
ANSALAPI,20200929,3.9,3.95,3.75,3.8,45069
ANSALHSG,20200929,3.8,4.05,3.75,4.05,28922
ANUP,20200929,656,698,632.15,652.65,51332
APARINDS,20200929,291.35,297.45,289.25,290.35,11956
